symbol,date,expiry,option_type,strike,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,no_of_contracts,turnover_in_lacs_option,premium_turnover_in_lacs,open_interest,change_in_oi,open_ul,high_ul,low_ul,close_ul,shares_traded_ul,turnover_in_cr_ul,log_returns_ul,vol_close_to_close,vol_parkinson,k_minus_s_open,k_minus_s_close,days_to_expiry,implied_volatility,moneyness_close,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2010-11-22,2010-12-30,PE,4500,3.0,3.05,2.7,2.7,2.7,2.7,373,839.81,-,338050,1300,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,-1420.8999999999996,-1510.0,38,0.401869301033413,0.2893,2.3364395928526336,2.206772373536425,-0.0097341712339847,3.34048e-05,-0.2669,0.5048,-6.3687123154112575,-0.0014295088,-0.0007,6.4768
NIFTY,2010-11-22,2010-12-30,PE,4800,3.15,4.0,3.1,3.1,3.1,3.1,570,1368.95,-,374750,8950,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,-1120.8999999999996,-1210.0,38,0.329741875067439,0.2248,2.2150962163689187,2.1087016449942007,-0.0133767305463088,5.366e-05,-0.2887,0.6654,-8.692428998663198,-0.002194246,-0.0009,9.4254
NIFTY,2010-11-22,2010-12-30,PE,5000,6.8,6.85,4.1,4.4,4.35,4.4,1245,3115.74,-,1203650,-1750,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,-920.8999999999996,-1010.0,38,0.2933050178941406,0.184,2.0464378634729554,1.951800014839024,-0.0203566550060344,8.64128e-05,-0.3678,0.9531,-13.195203391498364,-0.0032706437,-0.0012,12.9793
NIFTY,2010-11-22,2010-12-30,PE,5100,6.0,8.0,4.4,5.05,5.1,5.05,677,1728.32,-,441550,-14150,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,-820.8999999999996,-910.0,38,0.2729080496707188,0.1642,1.9676747365460991,1.879618177264728,-0.0245527372179116,0.0001087766,-0.4009,1.1163,-15.88835728895271,-0.0039648326,-0.0013,15.1286
NIFTY,2010-11-22,2010-12-30,PE,5200,10.0,10.1,5.0,5.4,5.9,5.4,1265,3293.71,-,717050,1650,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,-720.8999999999996,-810.0,38,0.2490457001035739,0.1448,1.9064921522652696,1.8261350228900053,-0.0282931914500594,0.0001341972,-0.4118,1.2568,-18.26521175552703,-0.0047522158,-0.0014,17.5692
NIFTY,2010-11-22,2010-12-30,PE,5300,18.0,18.0,6.8,7.1,7.4,7.1,4721,12531.54,-,1997250,-32500,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,-620.8999999999996,-710.0,38,0.2337084322004917,0.1257,1.773895406246284,1.698487002428773,-0.0380402263729861,0.000182523,-0.4933,1.6041,-24.54090467493157,-0.0060117321,-0.0017,20.6799
NIFTY,2010-11-22,2010-12-30,PE,5400,21.0,22.5,10.5,11.15,11.5,11.15,9638,26095.99,-,1654800,-92000,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,-520.8999999999996,-610.0,38,0.2262410037662843,0.107,1.5739360593387173,1.50093709729249,-0.0577511162088071,0.000263503,-0.6674,2.2418,-37.29562605644945,-0.0076695144,-0.0021,23.4086
NIFTY,2010-11-23,2010-12-30,PE,4100,2.95,3.95,2.4,2.8,2.8,2.8,77,157.97,-,46900,-2700,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-1871.55,-1834.75,37,0.5037274781440513,0.3698,2.4178040292857883,2.257424079963532,-0.0078072418409359,2.25405e-05,-0.276,0.4054,-4.958375901211356,-0.0009614648,-0.0006,4.3925
NIFTY,2010-11-23,2010-12-30,PE,4500,3.0,3.75,2.75,3.1,3.1,3.1,116,261.18,-,333000,-5050,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-1471.5500000000002,-1434.75,37,0.4000248784126789,0.2767,2.276389786867913,2.1490273289693578,-0.0114113452057866,3.95567e-05,-0.3054,0.565,-7.178273787084649,-0.0016062708,-0.0008,6.9091
NIFTY,2010-11-23,2010-12-30,PE,4800,2.5,6.95,2.25,4.0,3.9,4.0,1418,3406.46,-,397700,22950,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-1171.5500000000002,-1134.75,37,0.3306659924260025,0.2122,2.116454711656075,2.011175175778323,-0.0171530765383896,6.79952e-05,-0.3587,0.8028,-10.724839591251646,-0.0025839571,-0.0011,10.3336
NIFTY,2010-11-23,2010-12-30,PE,4900,3.7,10.0,3.5,5.4,5.9,5.4,771,1891.42,-,474100,7450,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-1071.5500000000002,-1034.75,37,0.3181580374078521,0.1916,1.992047194358281,1.890750020529404,-0.0231829399807131,9.12463e-05,-0.4456,1.0365,-14.494355755503088,-0.0032599152,-0.0013,12.2705
NIFTY,2010-11-23,2010-12-30,PE,5000,5.0,12.5,4.55,6.9,7.0,6.9,2242,5613.6,-,1232950,29300,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-971.5500000000002,-934.75,37,0.3026438337352766,0.1714,1.879434166287688,1.7830765030210498,-0.0300926174017242,0.0001192884,-0.5272,1.289,-18.803306229032227,-0.004019064,-0.0015,14.2728
