symbol,date,expiry,option_type,strike,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,no_of_contracts,turnover_in_lacs_option,premium_turnover_in_lacs,open_interest,change_in_oi,open_ul,high_ul,low_ul,close_ul,shares_traded_ul,turnover_in_cr_ul,log_returns_ul,vol_close_to_close,vol_parkinson,k_minus_s_open,k_minus_s_close,days_to_expiry,implied_volatility,moneyness_close,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2010-11-22,2010-12-30,PE,5900,122.0,138.4,81.1,86.5,86.85,86.5,82371,247260.86,-,2435250,323600,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,-20.89999999999964,-110.0,38,0.1912310886116854,0.0185,0.4145929428140114,0.3528902861459742,-0.3392199576382458,0.0009872039,-1.7863,7.0991,-221.25494327243064,-0.0067556387,-0.0009,5.4314
NIFTY,2010-11-22,2010-12-30,PE,6000,180.0,184.05,114.75,120.85,120.0,120.85,50380,154623.47,-,3229700,226100,5920.9,6020.25,5905.15,6010.0,123423130.0,6138.02,0.0201178183946239,0.1908475346027509,0.1512548208037,79.10000000000036,-10.0,38,0.1822216619737789,0.0017,0.1462560741576131,0.0874604006723336,-0.441859620322632,0.0011169797,-1.8351,7.6539,-289.0526082970356,-0.0018944213,0.0005,0.5373
NIFTY,2010-11-23,2010-12-30,PE,5900,105.6,189.85,98.65,123.95,129.0,123.95,121873,367674.21,-,3061700,626450,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-71.55000000000018,-34.75,37,0.2055701909171645,0.0059,0.1998899620966963,0.1344392209083563,-0.4207833205524486,0.0010067386,-2.0527,7.3891,-265.71005805030273,-0.0025574054,0.0001,0.9659
NIFTY,2010-11-24,2010-12-30,PE,5800,92.0,137.0,66.75,120.1,127.0,120.1,128116,377436.28,-,5309100,1146850,5946.8,5976.65,5833.6,5865.75,125846538.0,6608.67,-0.0116945530075819,0.1957722747708943,0.1639089178363507,-146.80000000000018,-65.75,36,0.2235295468765772,0.0113,0.2659241712687207,0.19572374392415,-0.39514880457273,0.000935171,-2.2023,7.0939,-240.45476298223105,-0.0033718087,-0.0003,1.6518
NIFTY,2010-11-25,2010-12-30,PE,5700,79.9,92.0,65.1,83.25,78.8,83.25,112072,323815.17,-,5051200,829800,5883.95,5907.1,5780.35,5799.75,371673464.0,12228.45,-0.0113155379925759,0.1993599547058776,0.1690679023502573,-183.94999999999985,-99.75,35,0.1941079137571182,0.0173,0.3984446732877998,0.3383368734062325,-0.3451512167542393,0.0010570513,-1.8352,6.6181,-199.9354233100504,-0.0064230642,-0.0009,4.5963
NIFTY,2010-12-20,2011-01-27,PE,5900,140.0,214.95,102.85,115.65,118.85,115.65,23539,70850.94,-,1317600,234150,5926.85,5985.0,5900.25,5947.05,121821490.0,7312.39,-0.0002858151635993,0.1714307153934539,0.1800034206385415,-26.850000000000364,-47.05000000000018,38,0.1990177332442515,0.0079,0.2368635557288094,0.172648458934811,-0.4063813219058874,0.0010157537,-1.9492,7.4434,-263.64921157751803,-0.0033651009,-0.0001,1.5295
NIFTY,2010-12-21,2011-01-27,PE,5900,106.95,107.0,87.7,90.05,89.0,90.05,19630,58844.98,-,1443100,125500,5960.4,6007.45,5960.05,6000.65,126542972.0,6485.84,0.0089724984041726,0.1684840814227423,0.1778197852614945,-60.39999999999964,-100.64999999999964,37,0.1938488281843198,0.0169,0.3870544755316161,0.3253356561514881,-0.3493579395886061,0.0009994546,-1.8525,7.0718,-221.6375804250211,-0.0062122292,-0.0008,4.5938
NIFTY,2010-12-21,2011-01-27,PE,6000,147.2,147.2,120.7,124.35,122.25,124.35,19413,59510.32,-,1013250,231850,5960.4,6007.45,5960.05,6000.65,126542972.0,6485.84,0.0089724984041726,0.1684840814227423,0.1778197852614945,39.60000000000037,-0.6499999999996362,37,0.1832545097911683,0.0001,0.1178995024412085,0.0595537693442783,-0.4530736437467772,0.0011315774,-1.8744,7.5691,-288.2032763267153,-0.001287497,0.0006,0.29
NIFTY,2010-12-22,2011-01-27,PE,5900,86.0,100.0,76.0,90.65,92.0,90.65,32837,98289.81,-,1525850,82750,6019.0,6023.8,5958.0,5984.4,118823292.0,5864.21,-0.0027117133358163,0.1634944897488049,0.170257777020294,-119.0,-84.39999999999964,36,0.1887001409236268,0.0142,0.3525227306658968,0.2932606298925543,-0.3622231372909175,0.0010571267,-1.8467,7.0461,-222.7402029414121,-0.0058264795,-0.0007,3.8603
NIFTY,2010-12-23,2011-01-27,PE,5900,84.0,97.85,83.0,86.2,86.95,86.2,31015,92888.42,-,1699100,173250,6005.9,6006.45,5964.6,5980.0,85460029.0,4301.17,-0.0007355153953996,0.1584248807432586,0.1638144372523996,-105.89999999999964,-80.0,35,0.1822298334142655,0.0135,0.351852286385493,0.2954226738709731,-0.3624745218884534,0.0011112684,-1.8077,6.9441,-216.11758458687711,-0.006079272,-0.0007,3.961
